sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1782503665.2133741,34026.8401419,191820.265625,195191.71875,446335.3125,534523.5,195065.734375,203824.3125,190998.53125,234788.28125
1782503665.2136245,34026.8401659,191820.796875,195194.03125,446366.15625,534530.3125,195082.375,203840.140625,191003.984375,234825.921875
1782503665.2136927,34026.8402421,191806.59375,195181.34375,446337.53125,534509.25,195056.703125,203818.6875,190986.90625,234787.734375
1782503665.2137184,34026.840286,191799.796875,195179.015625,446299.8125,534496.0625,195036.0625,203799.28125,190975.90625,234734.359375
1782503665.2137403,34026.8403383,191805.328125,195179.46875,446287.8125,534501.375,195033.640625,203793.015625,190975.375,234726.046875
1782503665.213967,34026.840381,191799.171875,195175.53125,446304.8125,534508.375,195044.375,203799.546875,190974.921875,234757.96875
1782503665.2140388,34026.840426,191783.875,195159.796875,446325.03125,534497.375,195049.921875,203804.203125,190970.1875,234784.4375
1782503665.2140667,34026.8404672,191780.296875,195152.28125,446309.65625,534480.8125,195035.15625,203793.65625,190963.390625,234761.8125
1782503665.2142084,34026.8404855,191787.09375,195158.28125,446282.09375,534477.375,195018.53125,203782.828125,190962.140625,234720.15625
1782503665.2437131,34026.8720464,191814.90625,195184.203125,446294.25,534504.0,195039.8125,203805.359375,190990.390625,234739.46875
1782503665.244547,34026.8721595,191842.890625,195211.46875,446348.09375,534541.0,195087.5625,203850.953125,191023.5625,234810.984375
1782503665.2449617,34026.8723032,191846.546875,195216.03125,446387.25,534547.1875,195109.1875,203874.390625,191031.25,234853.71875
1782503665.2453127,34026.8723414,191845.65625,195214.25,446369.28125,534535.625,195095.15625,203863.203125,191022.3125,234826.015625
1782503665.2457705,34026.8723851,191840.46875,195211.734375,446335.03125,534522.125,195072.4375,203842.828125,191008.359375,234775.3125
1782503665.2458456,34026.8724115,191836.8125,195205.296875,446319.21875,534516.75,195061.8125,203830.3125,191001.484375,234762.53125
1782503665.2462115,34026.8724391,191841.015625,195211.109375,446348.25,534527.9375,195082.734375,203848.640625,191014.34375,234806.0625
1782503665.2462842,34026.8724662,191856.203125,195226.5,446393.6875,534542.0625,195113.03125,203881.53125,191034.640625,234857.921875
1782503665.246311,34026.8724805,191850.484375,195223.1875,446370.78125,534522.125,195089.96875,203866.15625,191023.296875,234824.21875
1782503665.2465124,34026.8724971,191845.75,195217.015625,446338.34375,534512.25,195070.203125,203846.9375,191017.921875,234776.125
1782503665.246587,34026.8725126,191845.296875,195214.609375,446325.5625,534516.125,195071.375,203841.578125,191019.984375,234767.890625
1782503665.2467146,34026.8725237,191843.515625,195217.28125,446345.6875,534525.1875,195087.734375,203856.59375,191028.828125,234805.625
1782503665.2469997,34026.8725422,191843.515625,195216.921875,446375.09375,534524.625,195101.859375,203873.3125,191032.6875,234841.390625
1782503665.2470694,34026.872557,191830.375,195203.515625,446343.71875,534500.0625,195077.265625,203849.34375,191012.109375,234802.671875
1782503665.2750094,34026.9032524,191823.484375,195197.171875,446299.28125,534485.375,195049.203125,203821.90625,190994.40625,234742.765625
1782503665.2755337,34026.9033237,191817.3125,195191.890625,446284.15625,534486.5625,195043.921875,203811.625,190991.46875,234728.546875
1782503665.2756357,34026.9033582,191811.421875,195185.1875,446305.15625,534494.1875,195056.0,203819.390625,190996.109375,234764.046875
1782503665.2760217,34026.9033803,191813.375,195190.8125,446340.75,534502.125,195072.359375,203841.484375,191007.640625,234805.796875
1782503665.2762778,34026.9034005,191826.34375,195206.203125,446339.6875,534504.8125,195073.421875,203851.578125,191017.03125,234795.34375
1782503665.2763882,34026.9034158,191833.234375,195217.375,446316.78125,534502.75,195065.296875,203846.84375,191019.625,234757.96875
1782503665.276596,34026.9034342,191809.8125,195192.515625,446280.9375,534478.875,195036.953125,203814.65625,190991.109375,234727.125
1782503665.276678,34026.9034524,191799.96875,195181.609375,446290.96875,534474.25,195039.546875,203810.015625,190980.375,234751.890625
1782503665.3057616,34026.9340188,191802.921875,195184.921875,446327.6875,534477.4375,195057.78125,203830.125,190990.484375,234793.375
1782503665.306286,34026.9340622,191793.4375,195170.875,446302.5625,534456.625,195035.96875,203811.359375,190973.578125,234757.96875
1782503665.3063617,34026.9340916,191801.046875,195176.609375,446273.53125,534456.0,195022.5625,203799.109375,190971.703125,234713.265625
1782503665.3064668,34026.9341199,191847.453125,195222.375,446305.71875,534505.0625,195062.25,203836.125,191016.765625,234749.125
1782503665.3065257,34026.9341375,191853.34375,195226.046875,446331.1875,534516.625,195083.265625,203854.265625,191028.75,234791.765625
1782503665.3068662,34026.9341619,191845.125,195220.0625,446355.5,534508.625,195091.21875,203867.953125,191028.484375,234822.15625
1782503665.306948,34026.9341799,191835.203125,195209.953125,446333.875,534482.25,195068.953125,203850.328125,191013.453125,234792.484375
1782503665.3069863,34026.9341948,191835.734375,195208.875,446303.03125,534475.1875,195048.125,203827.71875,191002.734375,234744.46875
1782503665.336157,34026.9650105,191848.515625,195219.4375,446301.875,534491.125,195054.5625,203830.578125,191014.078125,234745.8125
1782503665.3366535,34026.9652304,191854.953125,195223.984375,446329.5,534512.25,195079.15625,203848.984375,191028.75,234790.515625
1782503665.3371487,34026.9652862,191855.5,195225.59375,446360.25,534519.0,195096.5,203871.515625,191038.484375,234829.578125
1782503665.3371913,34026.965308,191851.296875,195224.609375,446339.59375,534500.6875,195077.8125,203862.765625,191029.734375,234800.078125
1782503665.3666797,34026.9956446,191846.90625,195224.890625,446304.28125,534485.5,195058.859375,203846.671875,191023.03125,234748.40625
1782503665.3671772,34026.9956792,191837.15625,195218.453125,446284.59375,534482.375,195048.65625,203832.8125,191016.140625,234731.859375
1782503665.3982782,34027.0266839,191842.265625,195220.40625,446305.4375,534497.625,195065.5625,203842.109375,191019.71875,234767.625
1782503665.3989077,34027.0267073,191843.421875,195219.515625,446330.65625,534498.125,195077.359375,203852.125,191017.03125,234800.171875
1782503665.3990054,34027.0267113,191833.234375,195204.59375,446304.8125,534474.75,195055.28125,203835.046875,190998.609375,234764.859375
1782503665.429228,34027.0576149,191826.609375,195202.796875,446269.21875,534464.5625,195032.84375,203816.984375,190987.171875,234711.5625
1782503665.4603515,34027.0889042,191823.65625,195195.734375,446254.75,534461.625,195026.484375,203810.375,190985.921875,234700.84375
1782503665.4608428,34027.0890094,191824.828125,195192.078125,446272.0,534475.3125,195041.78125,203823.25,190994.6875,234735.890625
1782503665.4611506,34027.0890665,191828.484375,195195.46875,446306.96875,534484.25,195061.359375,203840.953125,191003.0,234775.5
1782503665.4612877,34027.0891411,191838.0625,195205.21875,446305.71875,534478.3125,195058.40625,203841.03125,191003.359375,234765.125
1782503665.4616067,34027.0891852,191833.3125,195204.3125,446272.0,534469.9375,195036.6875,203822.34375,190990.21875,234715.5
1782503665.4619527,34027.0892081,191824.296875,195195.921875,446249.75,534468.3125,195023.265625,203806.609375,190983.59375,234697.171875
1782503665.4622197,34027.0892281,191824.203125,195196.359375,446274.59375,534482.0625,195041.78125,203821.28125,190994.234375,234738.296875
1782503665.4625986,34027.0892726,191831.0,195208.703125,446319.28125,534491.3125,195068.25,203852.125,191013.375,234787.46875
1782503665.4627023,34027.0892999,191830.09375,195208.078125,446303.84375,534479.125,195055.09375,203843.359375,191010.421875,234763.0625
1782503665.4629986,34027.089326,191847.796875,195224.078125,446288.4375,534489.0625,195053.765625,203843.53125,191022.578125,234732.125
1782503665.4630673,34027.0893535,191849.328125,195225.15625,446277.0,534494.6875,195052.5,203840.046875,191024.546875,234723.375
1782503665.492094,34027.1210624,191847.625,195225.78125,446295.6875,534508.3125,195069.578125,203849.171875,191030.0,234758.328125
1782503665.4927568,34027.121184,191843.0625,195224.703125,446321.4375,534505.6875,195083.890625,203859.984375,191030.265625,234790.78125
1782503665.492866,34027.1214386,191834.125,195219.875,446299.8125,534482.875,195065.203125,203844.515625,191014.984375,234757.96875
1782503665.493118,34027.1215714,191838.859375,195218.171875,446269.59375,534475.1875,195049.828125,203832.546875,191011.9375,234712.28125
1782503665.4931865,34027.1216009,191863.625,195238.03125,446274.3125,534498.4375,195065.109375,203845.421875,191032.40625,234716.390625
1782503665.4932132,34027.1216037,191874.359375,195249.03125,446304.09375,534521.625,195091.3125,203866.515625,191047.609375,234757.4375
1782503665.4932735,34027.1216056,191870.609375,195243.296875,446327.4375,534518.9375,195100.25,203875.09375,191044.03125,234787.65625
1782503665.493299,34027.1216072,191859.421875,195232.03125,446302.3125,534496.3125,195077.984375,203852.390625,191023.03125,234756.453125
1782503665.4933403,34027.1216092,191850.9375,195227.203125,446265.46875,534480.1875,195052.328125,203828.078125,191010.78125,234703.25
1782503665.493567,34027.1216111,191841.015625,195216.296875,446247.3125,534473.5,195038.296875,203815.546875,191006.3125,234686.09375
1782503665.493642,34027.1216129,191846.90625,195217.1875,446273.4375,534490.3125,195055.8125,203832.359375,191017.484375,234728.734375
1782503665.493668,34027.1216147,191852.28125,195229.0,446315.0,534496.0625,195079.15625,203860.703125,191034.5625,234777.015625
1782503665.4936883,34027.1216164,191865.6875,195242.859375,446316.875,534497.5625,195081.390625,203870.984375,191044.84375,234769.234375
1782503665.4937463,34027.1216181,191860.59375,195235.703125,446278.4375,534482.5625,195055.28125,203848.1875,191026.875,234714.703125
1782503665.4937937,34027.12162,191872.84375,195246.34375,446274.59375,534497.1875,195060.828125,203848.90625,191035.265625,234713.890625
1782503665.5226853,34027.1512488,191890.984375,195261.1875,446313.3125,534527.9375,195095.78125,203876.4375,191060.21875,234767.625
1782503665.5227847,34027.1513404,191886.609375,195256.4375,446341.1875,534531.625,195106.421875,203886.984375,191062.1875,234798.46875
1782503665.5228767,34027.1514096,191869.265625,195235.875,446309.5625,534501.25,195074.046875,203861.0625,191035.8125,234756.453125
1782503665.5231426,34027.1514412,191864.4375,195227.390625,446269.21875,534485.5625,195047.5,203835.9375,191018.734375,234698.6875
1782503665.5232105,34027.1514705,191876.40625,195240.265625,446270.5625,534499.8125,195055.28125,203839.78125,191031.78125,234697.703125
1782503665.5233135,34027.1514984,191892.953125,195256.0,446306.5,534526.6875,195087.203125,203869.015625,191056.28125,234749.125
1782503665.5233712,34027.1515269,191901.453125,195267.890625,446352.1875,534540.5,195113.65625,203902.1875,191070.671875,234802.765625
1782503665.5233965,34027.1515503,191894.390625,195260.640625,446331.625,534519.9375,195090.140625,203886.90625,191057.53125,234773.34375
1782503665.5234258,34027.1515751,191886.0625,195253.046875,446293.09375,534503.4375,195060.90625,203863.03125,191042.515625,234716.9375
1782503665.5235798,34027.1515971,191887.765625,195256.796875,446283.34375,534507.75,195055.71875,203856.59375,191042.421875,234708.171875
1782503665.5237107,34027.1516188,191886.15625,195258.953125,446301.25,534516.9375,195073.609375,203868.75,191052.890625,234743.65625
1782503665.52389,34027.1516439,191879.625,195257.96875,446328.5,534515.0,195087.828125,203884.84375,191060.484375,234779.609375
1782503665.5240307,34027.1516876,191872.125,195250.1875,446310.09375,534504.25,195070.484375,203872.5,191050.109375,234752.875
1782503665.5241125,34027.1517199,191867.46875,195242.59375,446272.90625,534488.625,195047.765625,203851.765625,191034.921875,234703.25
1782503665.5243874,34027.151756,191859.515625,195234.546875,446253.9375,534478.3125,195036.765625,203836.125,191024.640625,234684.296875
1782503665.5244956,34027.1517848,191867.5625,195240.078125,446285.40625,534497.625,195061.1875,203856.234375,191040.015625,234724.703125
1782503665.5245745,34027.151859,191881.953125,195252.59375,446331.1875,534517.25,195088.1875,203886.71875,191059.40625,234775.84375
1782503665.5248706,34027.1518733,191886.15625,195255.546875,446321.34375,534503.625,195078.25,203884.125,191060.125,234759.046875
1782503665.5249393,34027.1518825,191896.34375,195269.046875,446297.5625,534506.75,195070.75,203879.75,191068.265625,234721.3125
1782503665.5541186,34027.1823436,191895.640625,195271.828125,446284.875,534511.0,195067.890625,203875.546875,191068.625,234710.859375
1782503665.554691,34027.1824661,191897.875,195272.09375,446309.0,534521.4375,195084.609375,203890.484375,191071.296875,234750.28125
1782503665.5547783,34027.1825302,191900.734375,195275.578125,446346.375,534531.375,195102.484375,203912.203125,191078.28125,234794.8125
1782503665.554809,34027.1826169,191895.375,195270.65625,446326.71875,534512.75,195081.03125,203896.015625,191067.734375,234769.40625
1782503665.5550225,34027.1826635,191901.71875,195277.28125,446301.59375,534509.5625,195068.421875,203886.625,191067.734375,234732.046875
1782503665.5550992,34027.1827279,191912.09375,195285.5,446303.90625,534519.1875,195075.125,203895.125,191079.796875,234740.171875
1782503665.5551932,34027.1827877,191914.234375,195287.203125,446330.03125,534532.625,195094.078125,203909.875,191092.3125,234782.5625
1782503665.5841613,34027.2131239,191913.78125,195289.96875,446361.125,534535.75,195111.609375,203928.65625,191100.8125,234822.078125
1782503665.5847316,34027.2133821,191908.328125,195286.125,446337.28125,534517.5625,195091.046875,203916.21875,191088.109375,234790.78125
1782503665.584978,34027.2134569,191903.421875,195281.03125,446293.46875,534502.3125,195062.25,203891.109375,191072.828125,234730.96875
1782503665.5851607,34027.2135013,191897.6875,195272.71875,446268.78125,534500.75,195050.1875,203874.734375,191065.140625,234709.6875
1782503665.5852537,34027.2135524,191900.828125,195274.328125,446289.53125,534514.5625,195067.609375,203885.015625,191069.96875,234745.546875
1782503665.585292,34027.2135943,191912.53125,195288.90625,446333.96875,534532.25,195095.78125,203914.171875,191086.0625,234795.875
1782503665.585619,34027.2136213,191914.40625,195289.53125,446322.4375,534525.75,195084.6875,203910.5,191083.546875,234776.390625
1782503665.585714,34027.2136424,191904.578125,195282.015625,446281.3125,534512.5,195055.90625,203887.078125,191069.6875,234717.828125
